Subplot,SAM,Plot,Site,Author of the picture,picture of the plot as indicated in the table ,picture of the subplot ,Dead_biomass,Forb_biomass,Graminoid_biomass,Lichen_biomass,Moss_biomass,Total_biomass,Live_biomass,Green_biomass,Dead_biomass_g/m,Forb_biomass_g/m,Graminoid_biomass_g/m,Lichen_biomass_g/m,Moss_biomass_g/m,Total_biomass_g/m,Live_biomass_g/m,Green_biomass_g/m,Lat,Long,Cover_Dead,Cover_Forb,Cover_Graminoid,Cover_Lichen,Cover_Moss,Cover_Total_biomass,Cover_live,Cover_Green ,Sentinel2_count,Sentinel2_mean,Sentinel2_stdev,Sentinel2_min,Sentinel2_max,drone_count,drone_mean,drone_stdev,drone_min,drone_max
OctRevCentre-R1-B1,1,OctRevCentre-R1,OctRevCentre,Vit,6J1A851-854,856-857,1.5313,0.2484,1.9826,0,0,3.7623,2.231,2.231,6.1252,0.9936,7.9304,0,0,15.0492,8.924,8.924,79.728208,96.57176,2,1,15,0,0,18,16,16,7,0.144297076,0.023987136,0.109848484,0.179629624,90837,0.102059873,0.064125837,-0.243306845,0.636153519
OctRevCentre-R1-B2,1,,OctRevCentre,Vit,6J1A851-854,859-860,0.3694,0.3836,0,0,0,0.753,0.3836,0.3836,1.4776,1.5344,0,0,0,3.012,1.5344,1.5344,79.728208,96.57176,0.5,1.5,0.5,0,0,2.5,2,2,7,0.144297076,0.023987136,0.109848484,0.179629624,90837,0.102059873,0.064125837,-0.243306845,0.636153519
OctRevCentre-R1-B3,1,,OctRevCentre,Vit,6J1A851-854,862-866,0.6163,1.1118,0,0,0,1.7281,1.1118,1.1118,2.4652,4.4472,0,0,0,6.9124,4.4472,4.4472,79.728208,96.57176,1,15,0.5,0,0,16.5,15.5,15.5,7,0.144297076,0.023987136,0.109848484,0.179629624,90837,0.102059873,0.064125837,-0.243306845,0.636153519
OctRevCentre-R1-B4,1,,OctRevCentre,Joel,6J1A851-854,6J1A0896,2.1526,1.2105,0.1324,0,0,3.4955,1.3429,1.3429,10.763,6.0525,0.662,0,0,17.4775,6.7145,6.7145,79.728208,96.57176,5,15,20,0,0,40,35,35,7,0.144297076,0.023987136,0.109848484,0.179629624,90837,0.102059873,0.064125837,-0.243306845,0.636153519
OctRevCentre-R2-B1,2,OctRevCentre-R2,OctRevCentre,Vit,6J1A868-871,872-874,0.2928,0.0357,0.3057,0,0,0.6342,0.3414,0.3414,1.1712,0.1428,1.2228,0,0,2.5368,1.3656,1.3656,79.727352,96.570748,0.5,0.5,1.5,0,0,2.5,2,2,7,0.146027141,0.012298697,0.130203724,0.163323775,90843,0.060581767,0.039833074,-0.012770223,0.49366805
OctRevCentre-R2-B2,2,,OctRevCentre,Vit,6J1A868-871,875-876,0,0.2145,0.0219,0,0,0.2364,0.2364,0.2364,0,0.858,0.0876,0,0,0.9456,0.9456,0.9456,79.727352,96.570748,0,0.5,0.05,0,0,0.55,0.55,0.55,7,0.146027141,0.012298697,0.130203724,0.163323775,90843,0.060581767,0.039833074,-0.012770223,0.49366805
OctRevCentre-R2-B3,2,,OctRevCentre,Vit,6J1A868-871,878-879,0.4028,0.5929,0,0,0,0.9957,0.5929,0.5929,1.6112,2.3716,0,0,0,3.9828,2.3716,2.3716,79.727352,96.570748,0.05,1,0,0,0,1.05,1,1,7,0.146027141,0.012298697,0.130203724,0.163323775,90843,0.060581767,0.039833074,-0.012770223,0.49366805
OctRevCentre-R2-B4,2,,OctRevCentre,Joel,6J1A868-871,"DSC_2155, 2156",1.1937,2.8105,1.2248,0,0,5.229,4.0353,4.0353,5.9685,14.0525,6.124,0,0,26.145,20.1765,20.1765,79.727352,96.570748,15,1,35,0,0.05,51.05,36.05,36.05,7,0.146027141,0.012298697,0.130203724,0.163323775,90843,0.060581767,0.039833074,-0.012770223,0.49366805
OctRevCentre-R3-B1,3,OctRevCentre-R3,OctRevCentre,Ks,6J1A881-884,DSC_2154,2.5241,0.1876,1.2758,0,0.8761,4.8636,2.3395,2.3395,10.0964,0.7504,5.1032,0,3.5044,19.4544,9.358,9.358,79.727232,96.568277,4,1,8,0,0,13,9,9,7,0.155022106,0.008845431,0.139956489,0.167008623,90843,0.115427594,0.058866988,0.006132797,0.677734792
OctRevCentre-R3-B2,3,,OctRevCentre,Ks,6J1A881-884,886-887,0.0424,4.297,0.022,0,0,4.3614,4.319,4.319,0.1696,17.188,0.088,0,0,17.4456,17.276,17.276,79.727232,96.568277,0.5,3,1,0,0,4.5,4,4,7,0.155022106,0.008845431,0.139956489,0.167008623,90843,0.115427594,0.058866988,0.006132797,0.677734792
OctRevCentre-R3-B3,3,,OctRevCentre,Ks,6J1A881-884,888-889,0.32,0,0.2683,0,0,0.5883,0.2683,0.2683,1.28,0,1.0732,0,0,2.3532,1.0732,1.0732,79.727232,96.568277,1,0,2,0,0,3,2,2,7,0.155022106,0.008845431,0.139956489,0.167008623,90843,0.115427594,0.058866988,0.006132797,0.677734792
OctRevCentre-R3-B4,3,,OctRevCentre,Joel,6J1A881-884,"DSC_2157, 2158",1.435,0.0538,1.1346,0,0.0117,2.6351,1.2001,1.2001,7.175,0.269,5.673,0,0.0585,13.1755,6.0005,6.0005,79.727232,96.568277,2,14,4,0,0,20,18,14,7,0.155022106,0.008845431,0.139956489,0.167008623,90843,0.115427594,0.058866988,0.006132797,0.677734792
Pioneer-R1-B1,1,Pioneer-R1,Pioneer,Ks,?,DSC_2031,1.1702,1.6181,0,7.6334,3.2775,13.6992,12.529,4.8956,4.6808,6.4724,0,30.5336,13.11,54.7968,50.116,19.5824,80.068611,91.869722,0.5,4,0,10,5,19.5,19,9,7,0.081604918,0.005277084,0.073708206,0.088125467,115117,0.128887922,0.049838125,-0.174010798,0.604137659
Pioneer-R1-B2,1,Pioneer-R1,Pioneer,Ks,?,DSC_2027,3.439,2.484,0,0.6505,2.5392,9.1127,5.6737,5.0232,13.756,9.936,0,2.602,10.1568,36.4508,22.6948,20.0928,80.068611,91.869722,0.5,8,0,4,5,17.5,17,13,7,0.081604918,0.005277084,0.073708206,0.088125467,115117,0.128887922,0.049838125,-0.174010798,0.604137659
Pioneer-R1-B3,1,Pioneer-R1,Pioneer,Ks,?,DSC_2026,0.8218,0.7174,0,5.0575,0.7048,7.3015,6.4797,1.4222,3.2872,2.8696,0,20.23,2.8192,29.206,25.9188,5.6888,80.068611,91.869722,0.05,2,0,12,2,16.05,16,4,7,0.081604918,0.005277084,0.073708206,0.088125467,115117,0.128887922,0.049838125,-0.174010798,0.604137659
Pioneer-R2-B1,2,Pioneer-R2,Pioneer,Ks,?,DSC_2033,0.7205,0.9272,0,9.8419,1.9572,13.4468,12.7263,2.8844,2.882,3.7088,0,39.3676,7.8288,53.7872,50.9052,11.5376,80.068056,91.8675,0.5,2,0,6,2,10.5,10,4,9,0.064448692,0.007614886,0.050978944,0.073908173,115156,0.086666169,0.040303675,-0.140049696,0.397395581
Pioneer-R2-B2,2,Pioneer-R2,Pioneer,Ks,?,DSC_2034,0.3882,4.1141,0,7.6516,5.978,18.1319,17.7437,10.0921,1.5528,16.4564,0,30.6064,23.912,72.5276,70.9748,40.3684,80.068056,91.8675,0.5,5,0,14,3,22.5,22,8,9,0.064448692,0.007614886,0.050978944,0.073908173,115156,0.086666169,0.040303675,-0.140049696,0.397395581
Pioneer-R2-B3,2,Pioneer-R2,Pioneer,Ks,?,DSC_2032,2.4625,2.9808,0,5.1066,6.89,17.4399,14.9774,9.8708,9.85,11.9232,0,20.4264,27.56,69.7596,59.9096,39.4832,80.068056,91.8675,0.5,2,0,12,8,22.5,22,10,9,0.064448692,0.007614886,0.050978944,0.073908173,115156,0.086666169,0.040303675,-0.140049696,0.397395581
Pioneer-R3-B1,3,Pioneer-R3,Pioneer,Vit,6J1A679-681,,0,2.65,0,0.4675,0.704,3.8215,3.8215,3.354,0,10.6,0,1.87,2.816,15.286,15.286,13.416,80.068888,91.864117,0,6,0,3,0.5,9.5,9.5,6.5,6,0.073317856,0.007333334,0.062107209,0.085633688,115199,0.095921245,0.042475368,-0.118192129,0.459885389
Pioneer-R3-B2,3,Pioneer-R3,Pioneer,Vit,6J1A679-681,,0,0,0,0,1.0629,1.0629,1.0629,1.0629,0,0,0,0,4.2516,4.2516,4.2516,4.2516,80.068888,91.864117,0,0,0,0,2,2,2,2,6,0.073317856,0.007333334,0.062107209,0.085633688,115199,0.095921245,0.042475368,-0.118192129,0.459885389
Pioneer-R3-B3,3,Pioneer-R3,Pioneer,Vit,6J1A679-681,,0.2772,1.3342,0,0,0.3403,1.9517,1.6745,1.6745,1.1088,5.3368,0,0,1.3612,7.8068,6.698,6.698,80.068888,91.864117,0.5,2,0,0.05,1,3.55,3.05,3,6,0.073317856,0.007333334,0.062107209,0.085633688,115199,0.095921245,0.042475368,-0.118192129,0.459885389
Uedineniya-R1-B1,1,Uedineniya-R1,Uedineniya,Ks,DSC_2169,DSC_2167,2.2399,0.3271,1.9601,0,0,4.5271,2.2872,2.2872,8.9596,1.3084,7.8404,0,0,18.1084,9.1488,9.1488,77.508056,82.292222,8,0.5,8,0.05,0,16.55,8.55,8.5,6,0.049288943,0.00473606,0.039549839,0.055250403,115415,0.131053088,0.04016375,0.059975289,0.640899301
Uedineniya-R1-B2,1,Uedineniya-R1,Uedineniya,Ks,DSC_2169,DSC_2168,9.6939,0.2131,13.7489,0.5,0.111,24.2669,14.573,14.073,38.7756,0.8524,54.9956,2,0.444,97.0676,58.292,56.292,77.508056,82.292222,4,0.5,16,0.5,0,21,17,16.5,6,0.049288943,0.00473606,0.039549839,0.055250403,115415,0.131053088,0.04016375,0.059975289,0.640899301
Uedineniya-R1-B3,1,Uedineniya-R1,Uedineniya,Ks,DSC_2169,DSC_2166,0.7915,0.1584,1.4251,0,0,2.375,1.5835,1.5835,3.166,0.6336,5.7004,0,0,9.5,6.334,6.334,77.508056,82.292222,4,0.5,3,0.05,0,7.55,3.55,3.5,6,0.049288943,0.00473606,0.039549839,0.055250403,115415,0.131053088,0.04016375,0.059975289,0.640899301
Uedineniya-R2-B1,2,Uedineniya-R2,Uedineniya,Ks,"DSC_2171, DSC_2174",DSC_2172,0,0,0.0486,2.9338,0.4931,3.4755,3.4755,0.5417,0,0,0.1944,11.7352,1.9724,13.902,13.902,2.1668,77.507778,82.29,0,0,0.05,4,1,5.05,5.05,1.05,7,0.081543951,0.017357517,0.06025283,0.11447759,115414,0.197562559,0.060882431,0.073657528,0.639520884
Uedineniya-R2-B2,2,Uedineniya-R2,Uedineniya,Ks,"DSC_2171, DSC_2174",DSC_2173,1.4593,2.209,0,1.3922,1.6146,6.6751,5.2158,3.8236,5.8372,8.836,0,5.5688,6.4584,26.7004,20.8632,15.2944,77.507778,82.29,0.5,4,0.05,2,3,9.55,9.05,7.05,7,0.081543951,0.017357517,0.06025283,0.11447759,115414,0.197562559,0.060882431,0.073657528,0.639520884
Uedineniya-R2-B3,2,Uedineniya-R2,Uedineniya,Ks,"DSC_2171, DSC_2174",DSC_2170,1.3041,2.2613,1.0118,0.7102,0.3048,5.5922,4.2881,3.5779,5.2164,9.0452,4.0472,2.8408,1.2192,22.3688,17.1524,14.3116,77.507778,82.29,8,0.05,12,0.5,0.5,21.05,13.05,12.55,7,0.081543951,0.017357517,0.06025283,0.11447759,115414,0.197562559,0.060882431,0.073657528,0.639520884
Uedineniya-R3-B1,3,Uedineniya-R3,Uedineniya,Vit,6J1A1223-1227,,0.4725,0.1105,0.3781,0,0.4506,1.4117,0.9392,0.9392,1.89,0.442,1.5124,0,1.8024,5.6468,3.7568,3.7568,77.507842,82.287675,2,0.05,2,1,1,6.05,4.05,3.05,7,0.107928628,0.010126542,0.095535129,0.127560526,115416,0.236885063,0.055820001,0.096253082,0.604869843
Uedineniya-R3-B2,3,Uedineniya-R3,Uedineniya,Vit,6J1A1223-1227,,2.9779,0.8737,1.5323,0,0.4133,5.7972,2.8193,2.8193,11.9116,3.4948,6.1292,0,1.6532,23.1888,11.2772,11.2772,77.507842,82.287675,8,1,4,0,2,15,7,7,7,0.107928628,0.010126542,0.095535129,0.127560526,115416,0.236885063,0.055820001,0.096253082,0.604869843
Uedineniya-R3-B3,3,Uedineniya-R3,Uedineniya,Vit,6J1A1223-1227,,0.8036,1.7784,0,2.6611,7.0049,12.248,11.4444,8.7833,3.2144,7.1136,0,10.6444,28.0196,48.992,45.7776,35.1332,77.507842,82.287675,1,3,1,2,10,17,16,14,7,0.107928628,0.010126542,0.095535129,0.127560526,115416,0.236885063,0.055820001,0.096253082,0.604869843
Vize-R1-B1,1,Vize-R1,Vize,Joel,"DSC_2004, DSC_2005",,0.473,0.1655,0.0649,0,4.1407,4.8441,4.3711,4.3711,1.892,0.662,0.2596,0,16.5628,19.3764,17.4844,17.4844,79.599444,76.679167,0.5,3.5,5,2,8,18.5,18.5,16.5,8,0.139086571,0.01089285,0.121045753,0.152434155,128213,0.146947385,0.050214054,-0.347151905,0.468056202
Vize-R1-B2,1,Vize-R1,Vize,Ks,"DSC_2004, DSC_2005",,0.9587,0.2307,0.204,0.0656,0.4007,1.8597,0.901,0.8354,3.8348,0.9228,0.816,0.2624,1.6028,7.4388,3.604,3.3416,79.599444,76.679167,0.5,2.5,10,0.5,0,13,13,12.5,8,0.139086571,0.01089285,0.121045753,0.152434155,128213,0.146947385,0.050214054,-0.347151905,0.468056202
Vize-R1-B3,1,Vize-R1,Vize,Ks,"DSC_2004, DSC_2005",,0.2217,0.0186,0,0.1619,6.4784,6.8806,6.6589,6.497,0.8868,0.0744,0,0.6476,25.9136,27.5224,26.6356,25.988,79.599444,76.679167,0.5,1.5,5,1.5,15,23,23,21.5,8,0.139086571,0.01089285,0.121045753,0.152434155,128213,0.146947385,0.050214054,-0.347151905,0.468056202
Vize-R2-B1,2,Vize-R2,Vize,Ks,"DSC_2006, DSC_2007",,0.4946,0.6198,0.1823,8.5001,4.1148,13.9116,13.417,4.9169,1.9784,2.4792,0.7292,34.0004,16.4592,55.6464,53.668,19.6676,79.599444,76.6775,0.5,2.5,2,0,8,12.5,12.5,12.5,7,0.136595841,0.015070813,0.115405262,0.166840464,128216,0.12506742,0.045485765,-0.19834356,0.54637897
Vize-R2-B2,2,Vize-R2,Vize,Ks,"DSC_2004, DSC_2005",,0.1706,0.2602,0.0255,0,3.44532,3.90162,3.73102,3.73102,0.6824,1.0408,0.102,0,13.78128,15.60648,14.92408,14.92408,79.599444,76.6775,0.5,2.5,5,0.5,8,16,16,15.5,7,0.136595841,0.015070813,0.115405262,0.166840464,128216,0.12506742,0.045485765,-0.19834356,0.54637897
Vize-R2-B3,2,Vize-R2,Vize,Joel,"DSC_2004, DSC_2005",,0.5285,0.0695,0.1996,0.0702,2.62,3.4878,2.9593,2.8891,2.114,0.278,0.7984,0.2808,10.48,13.9512,11.8372,11.5564,79.599444,76.6775,2,4,5,0.5,10,21.5,19.5,19,7,0.136595841,0.015070813,0.115405262,0.166840464,128216,0.12506742,0.045485765,-0.19834356,0.54637897
Vize-R3-B1,3,Vize-R3,Vize,Ks,"DSC_2008, DSC_2009, DSC_2010",,1.4009,0.9096,0.2988,1.1023,0.63192,4.34352,2.94262,1.84032,5.6036,3.6384,1.1952,4.4092,2.52768,17.37408,11.77048,7.36128,79.599167,76.676111,0.5,6,3,2,7,18,18,16,6,0.190923758,0.01400199,0.162790701,0.204999998,128209,0.214672011,0.053402218,-0.01111983,0.435984939
Vize-R3-B2,3,Vize-R3,Vize,Ks,"DSC_2008, DSC_2009, DSC_2010",,1.4815,1.6624,0.2425,6.1655,19.7157,29.2676,27.7861,21.6206,5.926,6.6496,0.97,24.662,78.8628,117.0704,111.1444,86.4824,79.599167,76.676111,0.5,2.5,4,4,30,40.5,40.5,36.5,6,0.190923758,0.01400199,0.162790701,0.204999998,128209,0.214672011,0.053402218,-0.01111983,0.435984939
Vize-R3-B3,3,Vize-R3,Vize,Joel,"DSC_2008, DSC_2009, DSC_2010",,0.5479,0.1143,0.1519,0.0476,10.8028,11.6645,11.1166,11.069,2.1916,0.4572,0.6076,0.1904,43.2112,46.658,44.4664,44.276,79.599167,76.676111,0.5,4.5,5,1,11,21.5,19.5,19,6,0.190923758,0.01400199,0.162790701,0.204999998,128209,0.214672011,0.053402218,-0.01111983,0.435984939
Vize-R4-B1,4,Vize-R4,Vize,Vit,6J1A0233-0236,6J1A0250,0.0497,2.086,0.1763,0.6225,22.1074,25.0419,24.9922,24.3697,0.1988,8.344,0.7052,2.49,88.4296,100.1676,99.9688,97.4788,79.5994383,76.6736283,1,7,2,0.5,18,28.5,27.5,27,9,0.152894521,0.023844879,0.100051306,0.181863472,128256,0.180367986,0.107661192,-0.161731973,0.540029466
Vize-R4-B2,4,Vize-R4,Vize,Vit,6J1A0233-0236,6J1A0256,1.1474,0.824,0.776,0,17.8791,20.6265,19.4791,19.4791,4.5896,3.296,3.104,0,71.5164,82.506,77.9164,77.9164,79.5994383,76.6736283,2,5,6,1,15,29,27,26,9,0.152894521,0.023844879,0.100051306,0.181863472,128256,0.180367986,0.107661192,-0.161731973,0.540029466
Vize-R4-B3,4,Vize-R4,Vize,Vit,6J1A0233-0236,6J1A0267,1.0202,0.2993,0.353,0.777,19.4471,21.8966,20.8764,20.0994,4.0808,1.1972,1.412,3.108,77.7884,87.5864,83.5056,80.3976,79.5994383,76.6736283,1,14,2,0.5,26,43.5,42.5,42,9,0.152894521,0.023844879,0.100051306,0.181863472,128256,0.180367986,0.107661192,-0.161731973,0.540029466
Vize-R5-B1,5,Vize-R5,Vize,Vit,6J1A0307-0310,"6J1A0331, 6J1A0332",0.8901,1.881,0,1.2058,33.8617,37.8386,36.9485,35.7427,3.5604,7.524,0,4.8232,135.4468,151.3544,147.794,142.9708,79.5999967,76.680375,1,15,0,5,26,47,46,41,7,0.109397642,0.0664312,-0.011028104,0.186092064,128209,0.06497639,0.142549149,-0.341558963,0.376837194
Vize-R5-B2,5,Vize-R5,Vize,Vit,6J1A0307-0310,"6J1A0333, 6J1A0334, 6J1A0335",1.6619,2.0429,0,0.5949,12.9011,17.2008,15.5389,14.944,6.6476,8.1716,0,2.3796,51.6044,68.8032,62.1556,59.776,79.5999967,76.680375,0.5,14,1,1,14,30.5,30,29,7,0.109397642,0.0664312,-0.011028104,0.186092064,128209,0.06497639,0.142549149,-0.341558963,0.376837194
Vize-R5-B3,5,Vize-R5,Vize,Vit,6J1A0307-0310,"6J1A0336, 6J1A0338",5.1455,1.5687,0.0117,0.6754,12.2394,19.6407,14.4952,13.8198,20.582,6.2748,0.0468,2.7016,48.9576,78.5628,57.9808,55.2792,79.5999967,76.680375,1,10,0.5,0.5,15,27,26,25.5,7,0.109397642,0.0664312,-0.011028104,0.186092064,128209,0.06497639,0.142549149,-0.341558963,0.376837194
Vize-R6-B1,6,Vize-R6,Vize,Ks,"DSC_2011, DSC_2012, DSC_2013",,8.9364,2.139,0.2789,5.7528,20.7548,37.8619,28.9255,23.1727,35.7456,8.556,1.1156,23.0112,83.0192,151.4476,115.702,92.6908,79.599722,76.678889,1,0.5,4,6,12,23.5,22.5,16.5,7,0.169607028,0.018840454,0.138840064,0.19890511,128209,0.188148367,0.058833765,-0.099142693,0.404311359
Vize-R6-B2,6,Vize-R6,Vize,Ks,"DSC_2011, DSC_2012, DSC_2013",,1.3947,0.06297,0.3093,0.0042,3.8872,5.65837,4.26367,4.25947,5.5788,0.25188,1.2372,0.0168,15.5488,22.63348,17.05468,17.03788,79.599722,76.678889,0.5,5.5,8,5,4,22.5,22.5,17.5,7,0.169607028,0.018840454,0.138840064,0.19890511,128209,0.188148367,0.058833765,-0.099142693,0.404311359
Vize-R6-B3,6,Vize-R6,Vize,Ks,"DSC_2011, DSC_2012, DSC_2013",,1.1706,0.6832,0.0304,1.8864,27.7504,31.521,30.3504,28.464,4.6824,2.7328,0.1216,7.5456,111.0016,126.084,121.4016,113.856,79.599722,76.678889,0.5,15.5,0.5,0.5,15,31.5,31.5,31,7,0.169607028,0.018840454,0.138840064,0.19890511,128209,0.188148367,0.058833765,-0.099142693,0.404311359
